These two zctas connected,,101001,10463,10471,,,,,,,,,,,
These two zctas connected,,102001,10466,10470,,,,,,,,,,,
one zcta multi part polygon,,102002,10469,,,,,,,,,,,,
one zcta,,102003,10475,,,,,,,,,,,,
one zcta,,103001,10458,,,,,,,,,,,,
one zcta,,103002,10467,,,,,,,,,,,,
one zcta,,103003,10468,,,,,,,,,,,,
one zcta,,104001,10461,,,,,,,,,,,,
one zcta,,104002,10462,,,,,,,,,,,, 
two zctas - not connected,,104003,10464,10465,,,,,,,,,,,
one zcta,,104004,10472,,,,,,,,,,,,
one zcta,,104005,10473,,,,,,,,,,,,
one zcta,,105001,10453,,,,,,,,,,,,
one zcta,,105002,10457,,,,,,,,,,,,
one zcta,,105003,10460,,,,,,,,,,,,
one zcta,,106001,10451,,,,,,,,,,,,
one zcta,,106002,10452,,,,,,,,,,,,
one zcta,,106003,10456,,,,,,,,,,,,
two zctas connected,,107001,10454,10474,,,,,,,,,,,
one zcta,,107002,10455,,,,,,,,,,,,
one zcta,,107003,10459,,,,,,,,,,,,
two zctas connected,,201001,11211,11249,,,,,,,,,,,
one zcta,,201002,11222,,,,,,,,,,,,
one zcta,,202001,11201,,,,,,,,,,,,
one zcta,,202002,11205,,,,,,,,,,,,
one zcta,,202003,11215,,,,,,,,,,,,
one zcta,,202004,11217,,,,,,,,,,,,
one zcta,,202005,11231,,,,,,,,,,,,
one zcta,,203001,11212,,,,,,,,,,,,
one zcta,,203002,11213,,,,,,,,,,,,
one zcta,,203003,11216,,,,,,,,,,,,
one zcta,,203004,11233,,,,,,,,,,,,
one zcta,,203005,11238,,,,,,,,,,,,
one zcta,,204001,11207,,,,,,,,,,,,
one zcta,,204002,11208,,,,,,,,,,,,
two zctas connected,,205001,11220,11232,,,,,,,,,,,
one zcta,,206001,11204,,,,,,,,,,,,
one zcta,,206002,11218,,,,,,,,,,,,
one zcta,,206003,11219,,,,,,,,,,,,
one zcta,,206004,11230,,,,,,,,,,,,
one zcta,,207001,11203,,,,,,,,,,,,
one zcta,,207002,11210,,,,,,,,,,,,
one zcta,,207003,11225,,,,,,,,,,,,
one zcta,,207004,11226,,,,,,,,,,,,
one zcta,,208001,11234,,,,,,,,,,,,
two zctas connected,,208002,11236,11239,,,,,,,,,,,
one zcta,,209001,11209,,,,,,,,,,,,
one zcta,,209002,11214,,,,,,,,,,,,
one zcta,,209003,11228,,,,,,,,,,,,
one zcta,,210001,11223,,,,,,,,,,,,
one zcta,,210002,11224,,,,,,,,,,,,
one zcta,,210003,11229,,,,,,,,,,,,
one zcta,,210004,11235,,,,,,,,,,,,
one zcta,,211001,11206,,,,,,,,,,,,
one zcta,,211002,11221,,,,,,,,,,,,
one zcta,,211003,11237,,,,,,,,,,,,
one zcta,,301001,10031,,,,,,,,,,,,
one zcta,,301002,10032,,,,,,,,,,,,
one zcta,,301003,10033,,,,,,,,,,,,
one zcta,,301004,10034,,,,,,,,,,,,
one zcta,,301005,10040,,,,,,,,,,,,
one zcta multi part polygon,,302001,10026,,,,,,,,,,,,
only 10027 has shp file,,302002,10027,10115,,,,,,,,,,,
three zcta all connected,,302003,10030,10037,10039,,,,,,,,,,
one zcta,,303001,10029,,,,,,,,,,,,
one zcta multi part polygon,,303002,10035,,,,,,,,,,,,
two zctas,,304001,10023,10069,,,,,,,,,,,
one zcta,,304002,10024,,,,,,,,,,,,
one zcta,,304003,10025,,,,,,,,,,,,
two zctas connected,,305001,10021,10065,,,,,,,,,,,
one zcta,,305002,10028,,,,,,,,,,,,
two zctas -not connected (10162 does not have shp file),,305003,10044,10075,10162,,,,,,,,,,
one zcta,,305005,10128,,,,,,,,,,,,
one zcta,,306001,10011,,,,,,,,,,,,
only 10019 has a shapefile ,,306002,10019,10020,10103,10111,10112,,,,,,,,
"three zctas connected (10110, 10119, 10199 do not have shapefiles)",,306003,10001,10018,10036,10110,10119,10199,,,,,,,
one zcta,,307001,10010,,,,,,,,,,,,
two zctas connected (only 10016&10017 have shapefiles),,307002,10016,10017,10165,10167,10168,10169,10170,10171,10172,10173,10174,10177,
one zcta (only 10022 has shapefile),,307003,10022,10152,10153,10154,,,,,,,,,
two zctas connected,,308001,10012,10013,,,,,,,,,,,
one zcta,,308002,10014,,,,,,,,,,,,
one zcta,,309001,10002,,,,,,,,,,,,
one zcta,,309002,10003,,,,,,,,,,,,
one zcta,,309003,10009,,,,,,,,,,,,
seven zctas connected (only 10278 & 10279 do not have shapefiles),,310001,10004,10005,10006,10007,10038,10271,10278,10279,10280,10282,,,
three zctas connected,,401001,11101,11104,11109,,,,,,,,,,
one zcta,,401002,11102,,,,,,,,,,,,
one zcta,,401003,11103,,,,,,,,,,,,
one zcta,,401004,11105,,,,,,,,,,,,
one zcta,,401005,11106,,,,,,,,,,,,
one zcta,,402001,11368,,,,,,,,,,,,
two zctas (one multipart polygon with rikers') 11371 has no shapefile,,402002,11369,11370,11371,,,,,,,,,,
one zcta,,402004,11372,,,,,,,,,,,,
one zcta,,402005,11373,,,,,,,,,,,,
two zctas connected,,402006,11377,11378,,,,,,,,,,,
one zcta,,403001,11354,,,,,,,,,,,,
one zcta,,403002,11355,,,,,,,,,,,,
"three zctas connected (11351, 11359 do not have shapefiles)",,403003,11351,11356,11357,11359,11360,,,,,,,,
one zcta,,403004,11358,,,,,,,,,,,,
three zctas connected,,404001,11361,11362,11363,,,,,,,,,,
one zcta,,404002,11364,,,,,,,,,,,,
two zctas connected,,405001,11374,11379,,,,,,,,,,,
one zcta,,405002,11375,,,,,,,,,,,,
one zcta,,405004,11385,,,,,,,,,,,,
two zctas connected,,406001,11365,11366,,,,,,,,,,,
one zcta,,406002,11367,,,,,,,,,,,,
two zctas connected,,407001,11414,11417,,,,,,,,,,,
